route_name,valid_from,load_timestamp,stop_name,street_name,last_survey_date,rtpi_available,stop_location_longitude,time_table_panel,mupi_available,valid_until,stop_location_latitude,stop_id,bus_stop_type,report_date
"11B","2022-05-02","2023-08-14 21:26:37","Algeria Street 2-2","","null","","55","Yes","","2036-01-01","25","2944","","2023-07-30"
"C19","2022-05-02","2024-02-27 10:03:12","Majid English School 1","","null","","55.330057","Yes","","2036-01-01","25.281777","1725","","2024-02-18"
"DA2","1970-01-01","2026-03-23 13:30:19","Damac Hills 2, Amazonia","null","null","null","55.373638","Yes","null","2036-01-01","24.992771","1681","null","2026-03-15"
"GE12","2022-05-02","2022-11-21 21:31:22","Al Quoz, Gargash 2","","null","","55.221638","Yes","","2036-01-01","25.137281","4130","","2022-11-21"
"MD4A","2022-11-18","2024-02-05 17:06:33","Al Qusais, Police Station 2","","null","","55.392171","Yes","","2036-01-01","25.264811","2210","","2024-02-04"
"JLT1","2022-05-02","2023-12-20 15:30:30","Dubai Industrial City, Labour Village 3","","null","","55.076015","Yes","","2036-01-01","24.829697","5097","","2023-12-17"
"F18","2023-05-19","2024-02-05 17:06:33","Hatta, Bus Station 2","","null","","56.119858","Yes","","2036-01-01","24.803473","3531","","2024-02-04"
"F07","2022-05-02","2023-08-14 21:26:37","Ibn Battuta Bus Station 7","","null","","55","Yes","","2036-01-01","25","3836","","2023-07-30"
"67","2016-09-03","2020-07-15 18:20:34","Al Lusaili Camel Market","","null","","55.507915","Yes","","2036-01-01","24.951986","629101","","2020-07-13"
"C26","2022-05-02","2023-12-20 15:30:30","Motor City, Autodrome Stadium 2","","null","","55.233157","Yes","","2036-01-01","25.046294","4946","","2023-12-17"
"GD9","2022-05-02","2022-11-14 21:20:14","City Centre Metro Bus Stop 1-1","","null","","55.32985","Yes","","2036-01-01","25.253345","1540","","2022-11-14"
"CR6","2022-05-02","2024-04-01 21:11:19","Sheikh Rashid Colony 1-2","","null","","55.372996","Yes","","2036-01-01","25.273945","2016","","2024-03-17"
"F54","2022-05-02","2023-12-20 15:30:30","Etisalat Bus Station 23","","null","","55.401816","Yes","","2036-01-01","25.256395","3193","","2023-12-17"
"D03","2022-08-09","2023-04-17 21:49:23","Airport Terminal 1, Arrival","","null","","55.350682","Yes","","2036-01-01","25.249336","4176","","2023-04-17"
"F19B","2022-05-02","2024-06-03 10:02:20","Karama Ent. 2","","null","","55.305879","Yes","","2036-01-01","25.244718","1555","","2024-05-26"
"F23A","2022-05-02","2024-04-24 09:46:57","Ghaya Residence","","null","","55.273244","Yes","","2036-01-01","25.212025","2810","","2024-04-21"
"24","2022-05-02","2022-09-19 22:09:36","Nad Al Shiba, ENBD HQ 2","","null","","55.323943","Yes","","2036-01-01","25.159859","2628","","2022-09-19"
"GE4","2022-05-02","2022-07-18 21:15:11","Al Quoz, Al Khail Gate Entrance 1","","null","","55.248321","Yes","","2036-01-01","25.146745","5143","","2022-07-18"
"F09","2023-07-01","2024-04-24 09:46:57","Al Lusaili Intersection 1","","null","","55.498286","Yes","","2036-01-01","24.952574","3012","","2024-04-21"
"53","2022-05-02","2024-10-29 09:21:37","Al Quoz, Bus Station 2","","null","","55.232416","Yes","","2036-01-01","25.146941","4127","","2024-10-27"
"F35","2022-05-02","2022-09-26 22:08:45","Hor Al Anz East, Abu Hail Park","","null","","55.344801","Yes","","2036-01-01","25.280747","2453","","2022-09-26"
"F29","2022-05-02","2023-03-20 18:37:16","Umm Suqeim 1-1","","null","","55.209823","Yes","","2036-01-01","25.162359","2533","","2023-03-20"
"55","2021-09-09","2024-10-09 09:37:01","Damascus Road 1-2","","null","","55.383658","Yes","","2036-01-01","25.275991","1910","","2024-09-22"
